industrial-classification-correlation	source	target	start-date	end-date
309	industrial-classification-2003:26.53	industrial-classification-2007:23.52		
310	industrial-classification-2003:26.61	industrial-classification-2007:23.61		
311	industrial-classification-2003:26.62	industrial-classification-2007:23.62		
312	industrial-classification-2003:26.63	industrial-classification-2007:23.63		
313	industrial-classification-2003:26.64	industrial-classification-2007:23.64		
314	industrial-classification-2003:26.65	industrial-classification-2007:23.65		
315	industrial-classification-2003:26.66	industrial-classification-2007:23.69		
316	industrial-classification-2003:26.70	industrial-classification-2007:23.70		
317	industrial-classification-2003:26.81	industrial-classification-2007:23.91		
318	industrial-classification-2003:26.82/1	industrial-classification-2007:23.99		
319	industrial-classification-2003:26.82/9	industrial-classification-2007:23.99		
320	industrial-classification-2003:27.10	industrial-classification-2007:24.10		
321	industrial-classification-2003:27.22	industrial-classification-2007:24.20		
322	industrial-classification-2003:27.31	industrial-classification-2007:24.31		
323	industrial-classification-2003:27.32	industrial-classification-2007:24.32		
324	industrial-classification-2003:27.33	industrial-classification-2007:24.33		
325	industrial-classification-2003:28.11	industrial-classification-2007:24.33		
326	industrial-classification-2003:27.34	industrial-classification-2007:24.34		
327	industrial-classification-2003:27.41	industrial-classification-2007:24.41		
328	industrial-classification-2003:27.42	industrial-classification-2007:24.42		
329	industrial-classification-2003:27.43	industrial-classification-2007:24.43		
330	industrial-classification-2003:27.44	industrial-classification-2007:24.44		
331	industrial-classification-2003:27.45	industrial-classification-2007:24.45		
332	industrial-classification-2003:23.30	industrial-classification-2007:24.46		
333	industrial-classification-2003:27.21	industrial-classification-2007:24.51		
334	industrial-classification-2003:27.51	industrial-classification-2007:24.51		
335	industrial-classification-2003:27.52	industrial-classification-2007:24.52		
336	industrial-classification-2003:27.53	industrial-classification-2007:24.53		
337	industrial-classification-2003:27.54	industrial-classification-2007:24.54		
338	industrial-classification-2003:28.11	industrial-classification-2007:25.11		
339	industrial-classification-2003:28.12	industrial-classification-2007:25.12		
340	industrial-classification-2003:28.22	industrial-classification-2007:25.21		
341	industrial-classification-2003:28.21	industrial-classification-2007:25.29		
342	industrial-classification-2003:28.30	industrial-classification-2007:25.30		
343	industrial-classification-2003:29.60	industrial-classification-2007:25.40		
344	industrial-classification-2003:28.40	industrial-classification-2007:25.50		
345	industrial-classification-2003:28.51	industrial-classification-2007:25.61		
346	industrial-classification-2003:28.52	industrial-classification-2007:25.62		
347	industrial-classification-2003:28.61	industrial-classification-2007:25.71		
348	industrial-classification-2003:28.75	industrial-classification-2007:25.71		
349	industrial-classification-2003:28.63	industrial-classification-2007:25.72		
350	industrial-classification-2003:28.75	industrial-classification-2007:25.72		
351	industrial-classification-2003:28.62	industrial-classification-2007:25.73		
352	industrial-classification-2003:29.56	industrial-classification-2007:25.73		
353	industrial-classification-2003:28.71	industrial-classification-2007:25.91		
354	industrial-classification-2003:28.72	industrial-classification-2007:25.92		
355	industrial-classification-2003:28.73	industrial-classification-2007:25.93		
356	industrial-classification-2003:28.74	industrial-classification-2007:25.93		
357	industrial-classification-2003:28.74	industrial-classification-2007:25.94		
358	industrial-classification-2003:27.43	industrial-classification-2007:25.99		
359	industrial-classification-2003:28.75	industrial-classification-2007:25.99		
360	industrial-classification-2003:31.62	industrial-classification-2007:25.99		
361	industrial-classification-2003:36.63/9	industrial-classification-2007:25.99		
362	industrial-classification-2003:24.66	industrial-classification-2007:26.11		
363	industrial-classification-2003:31.10	industrial-classification-2007:26.11		
364	industrial-classification-2003:31.20	industrial-classification-2007:26.11		
365	industrial-classification-2003:31.30	industrial-classification-2007:26.11		
366	industrial-classification-2003:32.10	industrial-classification-2007:26.11		
367	industrial-classification-2003:32.30	industrial-classification-2007:26.11		
368	industrial-classification-2003:32.10	industrial-classification-2007:26.12		
369	industrial-classification-2003:30.02	industrial-classification-2007:26.20		
370	industrial-classification-2003:32.30	industrial-classification-2007:26.20		
371	industrial-classification-2003:31.62	industrial-classification-2007:26.30/1		
372	industrial-classification-2003:32.20/1	industrial-classification-2007:26.30/1		
373	industrial-classification-2003:32.20/2	industrial-classification-2007:26.30/1		
374	industrial-classification-2003:32.30	industrial-classification-2007:26.30/1		
375	industrial-classification-2003:32.20/2	industrial-classification-2007:26.30/9		
376	industrial-classification-2003:32.30	industrial-classification-2007:26.30/9		
377	industrial-classification-2003:32.30	industrial-classification-2007:26.40		
378	industrial-classification-2003:36.50/9	industrial-classification-2007:26.40		
379	industrial-classification-2003:31.62	industrial-classification-2007:26.51/1		
380	industrial-classification-2003:33.20/1	industrial-classification-2007:26.51/1		
381	industrial-classification-2003:33.30/1	industrial-classification-2007:26.51/2		
382	industrial-classification-2003:31.62	industrial-classification-2007:26.51/3		
383	industrial-classification-2003:33.20/2	industrial-classification-2007:26.51/3		
384	industrial-classification-2003:33.30/2	industrial-classification-2007:26.51/4		
385	industrial-classification-2003:33.50	industrial-classification-2007:26.52		
386	industrial-classification-2003:33.10	industrial-classification-2007:26.60		
387	industrial-classification-2003:33.20/1	industrial-classification-2007:26.70/1		
388	industrial-classification-2003:33.40/1	industrial-classification-2007:26.70/1		
389	industrial-classification-2003:33.40/2	industrial-classification-2007:26.70/1		
390	industrial-classification-2003:32.30	industrial-classification-2007:26.70/2		
391	industrial-classification-2003:33.20/1	industrial-classification-2007:26.70/2		
392	industrial-classification-2003:33.40/2	industrial-classification-2007:26.70/2		
393	industrial-classification-2003:33.40/3	industrial-classification-2007:26.70/2		
394	industrial-classification-2003:24.65	industrial-classification-2007:26.80		
395	industrial-classification-2003:31.10	industrial-classification-2007:27.11		
396	industrial-classification-2003:31.62	industrial-classification-2007:27.11		
397	industrial-classification-2003:31.20	industrial-classification-2007:27.12		
398	industrial-classification-2003:31.40	industrial-classification-2007:27.20		
399	industrial-classification-2003:31.30	industrial-classification-2007:27.31		
400	industrial-classification-2003:33.40/2	industrial-classification-2007:27.31		
401	industrial-classification-2003:31.30	industrial-classification-2007:27.32		
402	industrial-classification-2003:25.23/9	industrial-classification-2007:27.33		
403	industrial-classification-2003:25.24	industrial-classification-2007:27.33		
404	industrial-classification-2003:31.20	industrial-classification-2007:27.33		
405	industrial-classification-2003:31.50	industrial-classification-2007:27.40		
406	industrial-classification-2003:31.61	industrial-classification-2007:27.40		
407	industrial-classification-2003:31.62	industrial-classification-2007:27.40		
408	industrial-classification-2003:29.71	industrial-classification-2007:27.51		
409	industrial-classification-2003:29.72	industrial-classification-2007:27.52		
410	industrial-classification-2003:29.43	industrial-classification-2007:27.90		
411	industrial-classification-2003:31.20	industrial-classification-2007:27.90		
412	industrial-classification-2003:31.30	industrial-classification-2007:27.90		
413	industrial-classification-2003:31.62	industrial-classification-2007:27.90		
414	industrial-classification-2003:32.10	industrial-classification-2007:27.90		
415	industrial-classification-2003:29.12/2	industrial-classification-2007:28.11		
416	industrial-classification-2003:29.11	industrial-classification-2007:28.11		
417	industrial-classification-2003:34.30	industrial-classification-2007:28.11		
418	industrial-classification-2003:29.12/1	industrial-classification-2007:28.12		
